,id,name,address,city,state,zip,county,phone,CMS Region,ownership,startdate,beds,LAT,LON
32,452051,ETMC SPECIALTY,1000 S BECKHAM 5TH FLOOR,TYLER,TX,75701,Smith,(903) 535-6551,6,Non-profit,05/01/1995 12:00:00 AM,36,32.314954,-95.304631
33,452063,LIFECARE HOSPITALS OF SOUTH TX,2001 M STREET,MC ALLEN,TX,78504,Hidalgo,(956) 926-7000,6,For profit,04/09/1998 12:00:00 AM,84,26.171134,-98.199913
34,452091,TYLER CONTINUECARE HOSPITAL (AT MOTHER FRANCES),800 EAST DAWSON 4TH FLOOR,TYLER,TX,75701,Smith,(903) 531-4942,6,Non-profit,06/02/2004 12:00:00 AM,51,32.314954,-95.304631
35,452108,DALLAS LTACH LLC,8050 MEADOWS ROAD,DALLAS,TX,75231,Dallas,(469) 232-6500,6,For profit,07/01/2008 12:00:00 AM,60,32.794176,-96.765503
36,452120,SELECT SPECIALTY HOSPITAL DALLAS GARLAND,2300 MARIE CURIE 3W AND 3E,GARLAND,TX,75042,Dallas,(469) 334-0853,6,For profit,07/01/2015 12:00:00 AM,40,32.909826,-96.630357
37,462004,PROMISE HOSPITAL OF SALT LAKE,8TH AVENUE C STREET,SALT LAKE CITY,UT,84143,Salt Lake,(801) 408-7109,8,For profit,02/01/2003 12:00:00 AM,41,40.77852,-111.931414
38,392047,SELECT SPECIALTY HOSPITAL - DANVILLE,100 NORTH ACADEMY AVENUE 3RD FLR BUSH  &  GEISINGER,DANVILLE,PA,17822,Montour,(570) 214-9648,3,For profit,02/01/2005 12:00:00 AM,30,40.961676,-76.61204000000002
39,452040,ACUITY HOSPITAL OF SOUTH TEXAS,718 LEXINGTON AVENUE,SAN ANTONIO,TX,78212,Bexar,(210) 572-4600,6,For profit,08/01/1994 12:00:00 AM,30,29.472403000000003,-98.525142
40,342021,CAROLINAS CONTINUECARE HOSPITAL AT UNIVERSITY,8800 NORTH TRYON STREET,CHARLOTTE,NC,28262,Mecklenburg,(704) 863-8300,4,Non-profit,12/22/2015 12:00:00 AM,35,35.20870700000001,-80.83073900000002
41,032004,"CHG HOSPITAL TUCSON, LLC",7220 EAST ROSEWOOD STREET,TUCSON,AZ,85710,Pima,(520) 546-4595,9,For profit,07/01/1998 12:00:00 AM,34,32.179196000000005,-111.125346
42,452039,KINDRED HOSPITAL,11297 FALLBROOK,HOUSTON,TX,77065,Harris,(281) 897-8114,6,For profit,06/01/1994 12:00:00 AM,76,29.780472,-95.386342
43,442010,BAPTIST MEMORIAL RESTORATIVE CARE HOSPITAL,6019 WALNUT GROVE ROAD 1 WEST,MEMPHIS,TN,38120,Shelby,(901) 226-1400,4,Non-profit,07/01/1995 12:00:00 AM,30,35.103543,-89.978498
44,192030,"ST THERESA SPECIALTY HOSPITAL, LLC",3601 LOYOLA DRIVE,KENNER,LA,70065,Jefferson,(504) 904-7561,6,For profit,02/05/2001 12:00:00 AM,73,30.010227,-90.25482
45,232029,SPECTRUM HEALTH SPECIAL CARE HOSPITAL - BLODGETT,1840 WEATHLY STREET SE,GRAND RAPIDS,MI,49506,Kent,(616) 486-2453,5,Non-profit,01/01/2001 12:00:00 AM,146,42.961156,-85.65557
46,282000,MADONNA REHABILITATION LTC HOSPITAL,5401 SOUTH ST,LINCOLN,NE,68506,Lancaster,(402) 413-3000,7,Non-profit,07/01/1984 12:00:00 AM,96,40.808957,-96.680354
47,362023,VIBRA HOSPITAL OF MAHONING VALLEY,8049 SOUTH AVENUE,BOARDMAN,OH,44512,Mahoning,(330) 726-5021,5,Non-profit,02/01/2000 12:00:00 AM,45,41.033132,-80.665596
48,442012,SELECT SPECIALTY HOSPITAL-KNOXVILLE,1901 CLINCH AVE FORTH FLOOR N,KNOXVILLE,TN,37916,Knox,(865) 547-2615,4,For profit,08/01/1998 12:00:00 AM,35,35.970875,-83.94647900000002
49,492009,VIBRA HOSPITAL OF RICHMOND,2220 EDWARD HOLLAND DRIVE,RICHMOND,VA,23230,Henrico,(804) 678-7000,3,For profit,05/01/2008 12:00:00 AM,60,37.531399,-77.47600899999998
50,372012,SPECIALTY HOSPITAL OF MIDWEST CITY,8210 NATIONAL AVENUE,MIDWEST CITY,OK,73110,Oklahoma,(405) 739-0800,6,For profit,05/31/1998 12:00:00 AM,31,35.45875200000001,-97.37457
51,312023,ACUITY SPECIALTY HOSPITAL OF NEW JERSEY,1925 PACIFIC AVENUE 5TH FLOOR,ATLANTIC CITY,NJ,08401,Atlantic,(609) 441-2122,2,Non-profit,06/01/2010 12:00:00 AM,30,39.377297,-74.451082
52,312024,COLUMBUS HOSPITAL LTACH,495 NORTH 13TH STREET,NEWARK,NJ,07107,Essex,(973) 587-7712,2,Non-profit,09/14/2010 12:00:00 AM,63,40.72422,-74.172574
53,102001,SELECT SPECIALTY HOSPITAL-MIAMI,955 NW 3RD STREET 8TH FLOOR,MIAMI,FL,33128,Miami-Dade,(305) 416-5700,4,For profit,09/01/2003 12:00:00 AM,47,25.70855,-80.295105
54,102009,KINDRED HOSPITAL-BAY AREA-TAMPA,4555 S MANHATTAN AVE,TAMPA,FL,33611,Hillsborough,(813) 839-6341,4,For profit,11/01/1988 12:00:00 AM,155,27.970086,-82.47967299999998
55,282002,SELECT SPECIALTY HOSPITAL - LINCOLN,2300 SOUTH 16TH STREET - 7TH FLOOR,LINCOLN,NE,68502,Lancaster,(402) 361-5755,7,For profit,02/01/2015 12:00:00 AM,24,40.808957,-96.680354
56,052037,KINDRED HOSPITAL ONTARIO,550 NORTH MONTEREY,ONTARIO,CA,91764,San Bernardino,(909) 391-0333,9,For profit,02/01/1995 12:00:00 AM,91,34.039524,-117.608769
57,362027,SELECT SPECIALTY HOSPITAL-AKRON,200 EAST MARKET STREET,AKRON,OH,44308,Summit,(330) 761-7500,5,For profit,12/01/2000 12:00:00 AM,34,41.080456,-81.521429
58,052050,KINDRED HOSPITAL SOUTH BAY,1246 WEST 155TH STREET,GARDENA,CA,90247,Los Angeles,(310) 323-5330,9,For profit,10/01/2006 12:00:00 AM,58,33.894417,-118.307522
59,392024,LIFECARE HOSPITALS OF PITTSBURGH,225 PENN AVENUE,PITTSBURGH,PA,15221,Allegheny,(412) 247-2356,3,For profit,07/01/1993 12:00:00 AM,35,40.439753,-79.97659200000002
60,362004,DRAKE CENTER INC,151 WEST GALBRAITH ROAD,CINCINNATI,OH,45216,Hamilton,(513) 418-2500,5,Non-profit,07/01/1966 12:00:00 AM,108,39.139902,-84.506446
61,392039,SELECT SPECIALTY HOSPITAL - CENTRAL PA (CAMP HILL),"503 NORTH 21ST STREET, FIFTH FLOOR",CAMP HILL,PA,17011,Cumberland,(717) 972-4560,3,For profit,01/01/2002 12:00:00 AM,31,40.24217,-76.927397
62,342014,HIGHSMITH RAINEY MEMORIAL HOSPITAL,150 ROBESON STREET 4TH FLOOR,FAYETTEVILLE,NC,28301,Cumberland,(910) 609-6700,4,Non-profit,02/01/2003 12:00:00 AM,112,35.08511,-78.980263
63,362035,ACUITY SPECIALTY HOSPITAL OHIO VALLEY,"4697 HARRISON STREET, 2ND FLOOR",BELLAIRE,OH,43906,Belmont,(740) 671-2086,5,For profit,04/01/2006 12:00:00 AM,72,40.016511,-80.747334
64,352004,VIBRA HOSPITAL OF FARGO,1720 UNIVERSITY DRIVE SOUTH,FARGO,ND,58103,Cass,(701) 241-9099,8,For profit,10/02/1998 12:00:00 AM,31,46.865206,-96.829005
65,232037,SPARROW SPECIALTY HOSPITAL,"1215 E MICHIGAN AVE, 8W SPARROW HOSPITAL TOWER",LANSING,MI,48912,Ingham,(517) 364-6800,5,Non-profit,01/01/2005 12:00:00 AM,36,42.775263,-84.499222
66,052046,PROMISE HOSPITAL OF EAST LOS ANGELES,443 S SOTO STREET,LOS ANGELES,CA,90033,Los Angeles,(323) 261-1181,9,For profit,09/27/1995 12:00:00 AM,177,34.019394,-118.410825
67,112000,ROOSEVELT WARM SPRINGS LTAC HOSPITAL,"6135 ROOSEVELT HIGHWAY, P O BOX 280",WARM SPRINGS,GA,31830,Meriwether,(706) 655-5515,4,Government,07/01/1974 12:00:00 AM,32,32.88724000000001,-84.67864200000002
68,512003,CORNERSTONE HOSPITAL OF HUNTINGTON,"2900 FIRST AVENUE, 2E",HUNTINGTON,WV,25702,Cabell,(304) 399-2600,3,For profit,11/01/2005 12:00:00 AM,28,38.410651,-82.434689
69,232034,BORGESS PIPP HOSPITAL,411 NAOMI STREET,PLAINWELL,MI,49080,Allegan,(269) 685-0700,5,Non-profit,07/01/2003 12:00:00 AM,43,42.45200300000001,-85.65072099999998
70,452055,CORNERSTONE HOSPITAL MEDICAL CENTER,2001 HERMANN DRIVE,HOUSTON,TX,77004,Harris,(832) 649-6200,6,For profit,03/01/1997 12:00:00 AM,35,29.780472,-95.386342
71,132003,SOUTHWEST IDAHO ADVANCED CARE HOSPITAL,6651 WEST FRANKLIN ROAD,BOISE,ID,83709,Ada,(208) 685-2400,10,Non-profit,01/01/2009 12:00:00 AM,40,43.598488,-116.231084
72,192031,CORNERSTONE HOSPITAL WEST MONROE,6198 CYPRESS STREET,WEST MONROE,LA,71291,Ouachita,(318) 396-5600,6,For profit,01/01/2002 12:00:00 AM,47,32.51234,-92.15107
73,012012,"NOLAND HOSPITAL TUSCALOOSA II, LLC","809 UNIVERSITY BOULEVARD EAST, 4TH FLOOR",TUSCALOOSA,AL,35401,Tuscaloosa,(205) 759-7241,4,Non-profit,04/01/2005 12:00:00 AM,32,33.233083,-87.525798
74,452101,SOLARA HOSPITAL HARLINGEN,508 VICTORIA LANE,HARLINGEN,TX,78550,Cameron,(682) 831-9670,6,For profit,08/01/2007 12:00:00 AM,41,26.191204,-97.697383
75,342016,SELECT SPECIALTY HOSPITAL-WINSTON SALEM,3333 SILAS CREEK PARKWAY 6TH FLR,WINSTON SALEM,NC,27103,Forsyth,(901) 277-6970,4,Non-profit,12/03/2002 12:00:00 AM,52,36.130998,-80.66028100000003
76,062014,VIBRA HOSPITAL OF DENVER,8451 PEARL ST,THORNTON,CO,80229,Adams,(303) 288-3000,8,For profit,01/01/1999 12:00:00 AM,54,39.918037,-104.945448
77,192023,ST CATHERINE MEMORIAL HOSPITAL,14500 HAYNE BLVD,NEW ORLEANS,LA,70128,Orleans,(504) 210-3000,6,For profit,01/01/1999 12:00:00 AM,21,30.068636,-89.93900699999998
78,102013,KINDRED HOSPITAL-CENTRAL TAMPA,4801 N HOWARD AVE,TAMPA,FL,33603,Hillsborough,(813) 874-7575,4,For profit,03/17/1993 12:00:00 AM,102,27.970086,-82.47967299999998
79,142010,RML HEALTH PROVIDERS LIMITED PARTNERSHIP,5601 S COUNTY LINE RD,HINSDALE,IL,60521,DuPage,(630) 286-4000,5,Non-profit,06/01/1997 12:00:00 AM,189,41.800683,-87.928172
80,452059,LIFECARE HOSPITAL OF SAN ANTONIO,8902 FLOYD CURL DRIVE,SAN ANTONIO,TX,78240,Bexar,(210) 690-7000,6,For profit,09/01/1998 12:00:00 AM,62,29.472403000000003,-98.525142
81,452094,PAM SPECIALTY HOSPITAL OF VICTORIA NORTH,102 MEDICAL DRIVE,VICTORIA,TX,77904,Victoria,(361) 576-6200,6,Non-profit,09/01/2005 12:00:00 AM,26,28.826891,-96.985409
82,522005,LAKEVIEW SPECIALTY HOSPITAL  &  REHAB CENTER,1701 SHARP ROAD,WATERFORD,WI,53185,Racine,(262) 534-7297,5,For profit,10/01/1998 12:00:00 AM,39,42.7939,-88.250095
83,452035,MESA HILLS SPECIALTY HOSPITAL,2311 N OREGON STREET,EL PASO,TX,79902,El Paso,(915) 548-1823,6,For profit,06/01/1994 12:00:00 AM,32,31.949139,-106.528247
84,062011,CRAIG HOSPITAL,3425 S CLARKSON ST,ENGLEWOOD,CO,80113,Arapahoe,(303) 789-8000,8,Non-profit,10/01/1992 12:00:00 AM,93,39.646876,-104.994129
85,442014,SELECT SPECIALTY HOSPITAL MEMPHIS,5959 PARK AVENUE,MEMPHIS,TN,38119,Shelby,(901) 765-1245,4,For profit,12/01/1997 12:00:00 AM,30,35.103543,-89.978498
86,452090,PAM SPECIALTY HOSPITAL OF SAN ANTONIO,5418 N LOOP 1604 W,SAN ANTONIO,TX,78249,Bexar,(210) 921-3550,6,For profit,11/20/2003 12:00:00 AM,26,29.472403000000003,-98.525142
87,452067,PROMISE HOSPITAL OF DALLAS,7955 HARRY HINES BLVD,DALLAS,TX,75235,Dallas,(214) 637-0000,6,For profit,10/15/1996 12:00:00 AM,66,32.794176,-96.765503
88,212002,WESTERN MARYLAND CENTER,1500 PENNSYLVANIA AVENUE,HAGERSTOWN,MD,21742,Washington,(301) 745-4140,3,Government,07/01/1966 12:00:00 AM,123,39.640182,-77.722691
89,432002,SELECT SPECIALTY HOSPITAL - SIOUX FALLS,1305 WEST 18TH STREET,SIOUX FALLS,SD,57105,Minnehaha,(605) 312-9520,8,For profit,03/01/1998 12:00:00 AM,24,43.538335,-96.731998
90,362038,ADVANCED SPECIALTY HOSPITAL OF TOLEDO,1015 GARDEN LAKE PARKWAY,TOLEDO,OH,43614,Lucas,(419) 381-0037,5,For profit,03/01/2009 12:00:00 AM,40,41.664071,-83.581861
91,362029,REGENCY HOSPITAL OF CLEVELAND EAST,4200 INTERCHANGE CORPORATE CENTER ROAD,WARRENSVILLE HTS,OH,44128,Cuyahoga,(330) 861-2065,5,For profit,12/01/2002 12:00:00 AM,142,41.419775,-81.603942
92,422007,REGENCY HOSPITAL OF FLORENCE,"121 EAST CEDAR ST, 4TH FL",FLORENCE,SC,29501,Florence,(843) 661-3481,4,For profit,02/01/2002 12:00:00 AM,40,34.17756,-79.78259399999997
93,192040,"SOUTHEAST REGIONAL MEDICAL CENTER, INC",719 AVENUE G,KENTWOOD,LA,70444,Tangipahoa,(985) 229-9193,6,Non-profit,08/13/2001 12:00:00 AM,14,30.933755,-90.515162
94,102010,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,1516 E LAS OLAS BLVD,FORT LAUDERDALE,FL,33301,Broward,(954) 764-8900,4,For profit,12/20/1988 12:00:00 AM,249,26.141305,-80.143896
95,322003,"ALBUQUERQUE - AMG SPECIALTY HOSPITAL, LLC",5400 GIBSON BLVD SE 3RD FLOOR,ALBUQUERQUE,NM,87108,Bernalillo,(505) 842-5550,6,Government,06/01/1995 12:00:00 AM,25,35.105552,-106.647388
96,452080,KINDRED HOSPITAL SUGAR LAND,1550 FIRST COLONY BOULEVARD,SUGAR LAND,TX,77479,Fort Bend,(281) 275-6000,6,For profit,03/01/2003 12:00:00 AM,171,29.596927,-95.629429
97,452100,MESQUITE SPECIALTY HOSPITAL,1024  N GALLOWAY AVENUE,MESQUITE,TX,75149,Dallas,(972) 216-2300,6,Non-profit,06/01/2007 12:00:00 AM,40,32.763903000000006,-96.592426
98,042010,CORNERSTONE HOSPITAL LITTLE ROCK,"2 ST VINCENT CIRCLE, 6TH FLOOR",LITTLE ROCK,AR,72205,Pulaski,(501) 985-7467,6,For profit,06/01/2007 12:00:00 AM,40,34.725432,-92.358556
99,452066,PLUM CREEK SPECIALTY HOSPITAL,5601 PLUM CREEK DRIVE,AMARILLO,TX,79124,Potter,(806) 351-1000,6,For profit,01/01/1999 12:00:00 AM,47,35.197839,-101.828746
100,232020,MCLAREN BAY SPECIAL CARE,"3250 E MIDLAND RD, SUITE 1",BAY CITY,MI,48706,Bay,(989) 667-6802,5,Non-profit,01/01/1995 12:00:00 AM,31,43.590062,-83.888421
101,052031,BARLOW RESPIRATORY HOSPITAL,2000 STADIUM WAY,LOS ANGELES,CA,90026,Los Angeles,(213) 250-4200,9,Non-profit,09/01/1984 12:00:00 AM,99,34.019394,-118.410825
102,152012,KINDRED HOSPITAL NORTHWEST INDIANA,5454 HOHMAN AVE  5TH FL,HAMMOND,IN,46320,Lake,(219) 852-5305,5,For profit,09/01/1996 12:00:00 AM,70,41.621663,-87.494591
103,312017,SPECIALTY HOSPITAL OF CENTRAL JERSEY,"600 RIVER AVENUE,   4 WEST",LAKEWOOD,NJ,08701,Ocean,(732) 806-3207,2,For profit,11/01/2004 12:00:00 AM,50,40.093975,-74.211478
104,042012,BAPTIST HEALTH EXTENDED CARE HOSPITAL-LR INC,"9601 BAPTIST HEALTH DRIVE, 1OTH FLOOR",LITTLE ROCK,AR,72205,Pulaski,(501) 202-1070,6,Non-profit,10/01/2008 12:00:00 AM,55,34.781873,-92.234937
105,392025,POST ACUTE MED SPECIALTY  HOSPITAL OF WILKES-BARRE,"575 NORTH RIVER STREET, 7TH FLOOR",WILKES-BARRE,PA,18764,Luzerne,(570) 208-3310,3,For profit,01/01/1994 12:00:00 AM,67,41.233744,-75.85938
106,102015,KINDRED HOSPITAL-NORTH FLORIDA,801 OAK ST,GREEN COVE SPRINGS,FL,32043,Clay,(904) 284-9230,4,For profit,12/01/1994 12:00:00 AM,80,29.921663,-81.700061
107,452028,KINDRED HOSPITAL-TARRANT COUNTY,1000 N COOPER ST,ARLINGTON,TX,76011,Tarrant,(817) 543-0200,6,For profit,07/01/1993 12:00:00 AM,80,32.700708,-97.124691
108,182001,KINDRED HOSPITAL LOUISVILLE,1313 SAINT ANTHONY PLACE,LOUISVILLE,KY,40204,Jefferson,(502) 587-7001,4,Non-profit,10/01/1995 12:00:00 AM,367,38.178077,-85.666708
109,342015,CAROLINAS CONTINUECARE HOSPITAL AT PINEVILLE,"10648 PARK RD, 3RD FL",CHARLOTTE,NC,28210,Mecklenburg,(704) 379-5117,4,Non-profit,08/01/2003 12:00:00 AM,40,35.20870700000001,-80.83073900000002
110,052036,KINDRED HOSPITAL - SAN DIEGO,1940 EL CAJON BLVD,SAN DIEGO,CA,92104,San Diego,(619) 543-4500,9,For profit,06/01/1993 12:00:00 AM,70,32.8153,-117.134993
111,452114,ATRIUM MEDICAL CENTER,"11929 W AIRPORT BLVD, SUITE 110",STAFFORD,TX,77477,Fort Bend,(281) 207-8200,6,Physician,08/30/2007 12:00:00 AM,68,29.62573,-95.565703
112,112018,"LANDMARK HOSPITAL OF SAVANNAH, LLC",800 E 68TH STREET,SAVANNAH,GA,31405,Chatham,(573) 331-8420,4,For profit,11/26/2014 12:00:00 AM,50,32.002512,-81.15355699999998
113,422005,VIBRA HOSPITAL OF CHARLESTON,1200 HOSPITAL DRIVE,MOUNT PLEASANT,SC,29464,Charleston,(843) 881-4047,4,For profit,07/01/1999 12:00:00 AM,59,32.811987,-79.795941
114,342013,LIFECARE HOSPITALS OF NC,1031 NOELL LANE,ROCKY MOUNT,NC,27804,Nash,(252) 451-2300,4,For profit,07/01/2000 12:00:00 AM,50,35.968508,-77.80828299999997
115,522006,SELECT SPECIALTY HOSPITAL MILWAUKEE,8901 W LINCOLN AVE  2ND FLOOR,WEST ALLIS,WI,53227,Milwaukee,(414) 328-7700,5,For profit,10/31/1999 12:00:00 AM,63,43.007186,-88.028986
116,462005,UTAH VALLEY SPECIALTY HOSPITAL,306 WEST RIVER BEND LANE,PROVO,UT,84604,Utah,(801) 226-8880,8,For profit,07/01/2007 12:00:00 AM,40,40.24533,-111.644807
117,252007,SELECT SPECIALTY HOSPITAL JACKSON,5903 RIDGEWOOD ROAD,JACKSON,MS,39211,Hinds,(601) 899-3800,4,Non-profit,03/01/2003 12:00:00 AM,53,32.315831,-90.212823
118,222048,WHITTIER REHABILITATION HOSPITAL,150 FLANDERS ROAD,WESTBOROUGH,MA,01581,Worcester,(508) 871-2063,1,For profit,10/01/2005 12:00:00 AM,88,42.267441,-71.617492
119,192052,"SPECIALTY HOSPITAL OF WINNFIELD, INC",915 1ST STREET,WINNFIELD,LA,71483,Winn,(318) 648-3523,6,For profit,04/01/2005 12:00:00 AM,20,31.923927000000006,-92.642472
120,102023,SELECT SPECIALTY HOSPITAL-PALM BEACH,3060 MELALEUCA LANE,LAKE WORTH,FL,33461,Palm Beach,(561) 357-7200,4,For profit,12/01/2008 12:00:00 AM,60,26.61972,-80.058718
